vintage_name,vintage_rank,toplists_name,vintages.price_euros
Achaval-Ferrer Finca Altamira Malbec 2015,6,Vivino's 2020 Wine Style Awards: Argentinian Malbec,99.95
Krug Grande Cuvée,6,Vivino's 2020 Wine Style Awards: French Champagne N.V.,245.0
Hartenberg The Stork 2015,6,Vivino's 2020 Wine Style Awards: South African Syrah,57.95
Krug Rosé,6,top_lists.EditorialTopList.2017999.name,349.0
Casa Ermelinda Freitas Dona Ermelinda Grande Reserva 2017,7,Bestsellers in Lisboa,29.95
Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,7,Vivino's 2016 Wine Style Awards: French Champagne,2882.5
Château Pavie Macquin Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2000,7,Vivino's 2018 Wine Style Awards: Bordeaux Saint-Émilion,287.5
Vilafonté Series M 2014,7,Vivino's 2019 Wine Style Awards: South African Bordeaux Blend,48.0
Vallone Graticciaia 2012,7,Vivino's 2019 Wine Style Awards: Southern Italy Red,111.25
Casa Ermelinda Freitas Dona Ermelinda Grande Reserva 2017,8,Bestsellers in Portugal,29.95
